,Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
1560,J,False,2019-05-05 15:48:34,2,توسعه‌دهنده Python,2019-07-05 03:00:05,C,PT
1561,S,True,2019-11-16 10:17:41,8,توسعه‌دهنده فرانت و back,2020-01-16 03:00:04,C,FT
1562,S,False,2019-11-13 16:37:42,6,توسعه‌دهنده Front End,2020-01-13 03:00:05,C,FT
1563,S,False,2019-11-13 14:15:47,4,برنامه‌نویس UI و Front-End,2020-01-13 03:00:05,C,FT
1564,S,False,2019-11-13 14:11:05,4,برنامه‌نویس Back-End,2020-01-13 03:00:05,C,FT
1565,J,False,2019-11-12 14:43:53,6,کارشناس تضمین کیفیت,2020-01-12 03:00:05,C,FT
1566,S,False,2019-11-13 14:04:25,3,طراح UI/UX,2020-01-13 03:00:05,C,FT
1569,S,False,2019-10-06 14:52:41,6,توسعه‌دهنده Full-stack,2019-12-06 03:00:05,C,FT
1570,S,False,2019-11-12 19:50:12,6,برنامه‌نویس Node.js,2020-01-12 03:00:05,C,FT
1571,S,False,2019-11-12 19:51:12,6,برنامه‌نویس React,2020-01-12 03:00:05,C,FT
1572,I,False,2019-11-10 11:25:43,2,کارشناس فناوری اطلاعات,2020-01-10 03:00:05,C,FT
1573,S,True,2019-11-10 10:41:13,6,توسعه‌دهنده NodeJS (دورکاری),2020-01-10 03:00:05,C,FT
1574,J,False,2019-11-10 10:41:52,3,توسعه‌دهنده Web service -Back end,2020-01-10 03:00:05,C,FT
1575,J,False,2019-11-09 16:41:43,3,Sql developer,2020-01-09 03:00:04,C,FT
1576,S,False,2019-11-08 22:43:19,8,توسعه‌دهنده Back-end,2020-01-08 03:00:05,C,FT
1578,S,False,2019-11-02 11:34:56,6,برنامه‌نویس Backend node.js,2020-01-02 03:00:05,C,FT
1579,S,True,2019-11-08 12:31:04,6,PHP - Laravel Backend Developer,2020-01-08 03:00:05,C,FT
1580,S,False,2019-11-08 12:32:56,4,طراح UI/UX,2020-01-08 03:00:05,C,FT
1582,J,False,2019-11-05 14:58:22,4,برنامه‌نویس Android,2020-01-05 03:00:05,C,FT
1583,S,False,2019-11-05 11:55:21,3,برنامه‌نویس Front-End,2020-01-05 03:00:05,C,FT
1584,I,False,2019-11-05 11:19:30,3,توسعه‌دهنده Front End,2020-01-05 03:00:05,C,FT
1585,J,False,2019-11-02 11:35:26,6,برنامه‌نویس ++C,2020-01-02 03:00:05,C,FT
1587,S,False,2019-11-04 18:16:19,6,برنامه‌نویس Back-End مسلط به LARAVEL,2020-01-04 03:00:07,C,FT
1588,S,False,2019-11-04 18:13:47,8,Front End Developer,2019-12-25 09:37:07,C,FT
1589,J,False,2019-11-04 18:13:27,6,توسعه‌دهنده Front End,2019-11-27 12:26:01,C,FT
1591,S,False,2019-11-04 10:02:31,4,برنامه‌نویس Front-End Developer,2020-01-04 03:00:07,C,FT
1592,S,False,2019-11-04 10:03:47,6,Mobile Developer,2020-01-04 03:00:07,C,FT
1596,S,False,2019-11-12 15:00:07,12,برنامه‌نویس وب/app,2020-01-12 03:00:05,C,FT
1597,S,False,2019-11-03 10:04:07,6,برنامه‌نویس ارشد NodeJS,2020-01-03 03:00:05,C,FT
1598,M,False,2019-11-03 10:03:51,4,توسعه‌دهنده Backend,2020-01-03 03:00:05,C,FT
1599,S,False,2019-11-02 17:59:54,8,Full-stack Developer,2020-01-02 03:00:05,C,FT
1601,J,False,2019-11-02 17:30:33,6,طراح رابط کاربری و تجربه کاربری (UI/UX),2020-01-02 03:00:05,C,FT
1602,S,False,2019-11-02 17:31:01,2,Front - End Developer,2020-01-02 03:00:05,C,FT
1604,S,True,2019-11-02 13:39:44,8,توسعه‌دهنده اندروید,2019-12-22 11:00:41,C,PR
1606,J,True,2019-11-02 11:43:01,6,توسعه‌دهنده Front End,2020-01-02 03:00:05,C,PT
1609,J,False,2019-10-30 12:33:25,3,UI/UX designer,2019-12-30 03:00:04,C,FT
1610,S,False,2019-10-30 12:33:37,12,توسعه‌دهنده PHP,2019-12-30 03:00:04,C,FT
1611,J,False,2019-10-30 11:50:21,3,توسعه‌دهنده Front End,2019-12-30 03:00:04,C,FT
1612,J,False,2019-10-05 11:01:07,8,برنامه‌نویس java,2019-12-05 03:00:04,C,PT
1613,J,False,2019-10-29 18:44:41,8,برنامه‌نویسی سیستمی و عمومی,2019-12-29 03:00:04,C,FT
1614,J,False,2019-10-29 18:45:33,6,برنامه‌نویسی وب,2019-12-29 03:00:04,C,FT
1615,J,True,2019-10-26 12:09:53,1,توسعه‌دهنده Front End,2019-11-27 14:31:13,C,PR
1616,J,False,2019-10-29 18:46:49,4,پشتیبانی شبکه‌های کامپیوتری,2019-12-29 03:00:04,C,FT
1617,J,False,2019-10-23 16:09:08,2,توسعه‌دهنده Front End اصفهان,2019-12-23 03:00:04,C,FT
1618,S,False,2019-11-05 11:21:27,12,Senior Ruby on Rails Developer,2020-01-05 03:00:05,C,FT
1620,S,True,2019-10-27 12:39:44,6,برنامه‌نویس React Native,2019-12-27 03:00:05,C,FT
1622,J,False,2019-10-26 16:57:53,3,کارشناس مستندسازی,2019-12-26 03:00:05,C,FT
1623,S,False,2019-10-26 14:54:06,8,توسعه‌دهنده دات‌نت - Backend Developer,2019-12-26 03:00:05,C,FT
1625,S,False,2019-10-26 12:09:44,12,توسعه‌دهنده Front End,2019-12-26 03:00:05,C,FT
1626,S,False,2019-10-26 12:09:36,4,برنامه‌نویس وب NET.,2019-12-26 03:00:05,C,FT
1627,S,False,2019-09-14 12:33:11,6,توسعه‌دهنده Flutter,2019-11-14 03:00:04,C,PR
1629,S,True,2019-10-23 12:20:57,8,برنامه‌نویس Senior React Native,2019-12-23 03:00:04,C,PT
1630,S,False,2019-10-22 17:59:29,4,برنامه‌نویس Back-End,2019-12-22 03:00:05,C,FT
1631,J,False,2019-10-22 16:33:46,6,برنامه‌نویس PHP,2019-12-22 03:00:05,C,FT
1633,S,False,2019-10-22 15:52:57,8,توسعه‌دهنده اندروید - Android Developer,2019-12-22 03:00:05,C,FT
1634,S,False,2019-10-22 11:16:00,8,توسعه‌دهنده موبایل,2019-11-16 16:51:54,C,PR
1635,J,False,2019-10-13 12:53:20,2,نیروی مسلط به لاراول,2019-11-07 20:29:55,C,PR
1636,S,False,2019-10-21 16:33:16,6,توسعه‌دهنده وب,2019-12-21 03:00:04,C,FT
1637,J,False,2019-10-21 15:42:45,6,توسعه‌دهنده PHP,2019-12-21 03:00:04,C,FT
1641,S,False,2019-10-20 12:22:17,4,وردپرس کار مسلط به طراحی پلاگین و قالب,2019-12-20 03:00:05,C,FT
1642,S,True,2019-10-20 11:18:24,6,توسعه‌دهنده Front End,2019-12-20 03:00:05,C,FT
1643,S,True,2019-10-20 11:20:15,6,توسعه‌دهنده Backend,2019-12-20 03:00:05,C,FT
1645,J,False,2019-10-20 10:31:37,4,برنامه‌نویس .Net,2019-12-20 03:00:05,C,FT
1647,S,True,2019-10-20 10:34:08,8,برنامه‌نویس Full Stack,2019-12-20 03:00:05,C,FT
1648,J,True,2019-10-16 17:11:25,1,برنامه‌نویسvue.js,2019-12-16 03:00:05,C,FT
1660,S,False,2019-10-14 15:04:44,12,Data Engineer (Python),2019-12-14 03:00:05,C,FT
1666,S,False,2019-10-13 13:45:27,6,توسعه‌دهنده NodeJS,2019-12-13 03:00:04,C,FT
1667,J,False,2019-10-12 15:35:37,4,برنامه‌نویس وب (Net.),2019-12-12 03:00:05,C,FT
1669,S,False,2019-10-12 14:31:54,12,Senior Backend Developer,2019-12-12 03:00:05,C,FT
1670,S,False,2019-10-12 12:46:35,8,توسعه‌دهنده اندروید,2019-12-12 03:00:05,C,FT
1671,J,False,2019-10-12 09:58:27,3,توسعه‌دهنده اندروید,2019-12-12 03:00:05,C,FT
1672,J,False,2019-10-12 09:58:43,1,توسعه‌دهنده Backend,2019-12-12 03:00:05,C,FT
1673,J,False,2019-10-07 18:54:09,6,PHP Developer,2019-12-07 03:00:05,C,FT
1674,S,False,2019-10-12 09:59:09,6,توسعه‌دهنده Backend,2019-12-12 03:00:05,C,FT
1675,S,False,2019-10-12 09:59:31,12,Unity develpoer,2019-12-12 03:00:05,C,PR
1676,M,False,2019-10-12 09:59:46,4,مدرس برنامه‌نویسی,2019-10-23 15:17:32,C,PT
1677,J,False,2019-10-12 10:01:15,3,توسعه‌دهنده Front End,2019-12-12 03:00:05,C,FT
1679,J,True,2019-10-12 10:03:33,2,توسعه‌دهنده اندروید,2019-12-12 03:00:05,C,PT
1682,J,False,2019-10-09 14:20:26,6,برنامه‌نویس React-native یا flutter,2019-12-09 03:00:05,C,FT
1683,J,False,2019-10-09 10:45:07,6,توسعه‌دهنده Front End,2019-12-09 03:00:05,C,FT
1684,S,False,2019-10-07 18:54:00,8,PHP) Full-Stack Developer),2019-12-07 03:00:05,C,FT
1685,J,False,2019-10-09 14:21:35,2,FrontEnd Developer,2019-12-09 03:00:05,C,FT
1686,J,False,2019-10-08 18:03:50,2,Front_Developer,2019-12-08 03:00:05,C,FT
1687,J,False,2019-10-07 09:45:59,6,توسعه‌دهنده Front End,2019-12-07 03:00:05,C,PT
1688,J,False,2019-10-12 10:05:02,1,توسعه‌دهنده فرانت‌اند,2019-12-12 03:00:05,C,FT
1690,S,False,2019-10-08 14:57:35,8,برنامه‌نویس ارشد NodeJS,2019-12-08 03:00:05,C,FT
1691,S,False,2019-10-07 18:53:55,12,Senior Android Developer,2019-12-07 03:00:05,C,FT
1692,S,False,2019-10-07 18:53:47,12,Senior iOS Developer,2019-12-07 03:00:05,C,FT
1693,S,False,2019-10-07 18:53:42,12,Senior React Native Developer,2019-12-07 03:00:05,C,FT
1694,S,False,2019-10-07 18:45:02,12,ReactJs) Senior Front-End Developer),2019-12-07 03:00:05,C,FT
1696,S,True,2019-06-02 13:54:56,4,برنامه‌نویس iOS,2019-08-02 03:00:05,C,FT
1697,J,False,2019-10-07 09:47:13,6,UI/UX Designer,2019-11-18 02:04:01,C,FT
1698,J,True,2019-10-07 09:46:49,1,طراح قالب وردپرس,2019-12-07 03:00:05,C,PR
1699,S,False,2019-10-07 09:45:26,3,توسعه‌دهنده Front End,2019-12-07 03:00:05,C,FT
1700,S,False,2019-10-06 15:03:45,12,Senior PHP Developer,2019-12-06 03:00:05,C,FT
1705,S,False,2019-10-06 11:41:07,6,برنامه‌نویس ارشد Back-End,2019-12-03 14:53:07,C,FT
1706,S,False,2019-10-06 10:14:50,6,برنامه‌نویس Front-end,2019-11-19 13:20:21,C,FT
1707,S,False,2019-10-06 10:13:57,6,برنامه‌نویس Back-End,2019-12-06 03:00:05,C,FT
1710,S,False,2019-10-05 18:23:34,8,توسعه‌دهنده Front End,2019-12-05 03:00:04,C,FT
1711,S,False,2019-10-05 11:02:03,8,برنامه‌نویس React Native,2019-12-05 03:00:04,C,FT
1713,S,False,2019-10-05 10:14:08,6,توسعه‌دهنده Front End,2019-12-05 03:00:05,C,FT
1714,J,False,2019-10-05 10:14:27,2,توسعه‌دهنده PHP,2019-12-05 03:00:05,C,FT
1722,J,False,2019-10-03 15:09:56,2,توسعه‌دهنده Front End,2019-12-03 03:00:05,C,FT
1723,S,False,2019-10-03 15:09:22,4,برنامه‌نویس backend node.js,2019-12-03 03:00:05,C,FT
1724,S,False,2019-10-02 10:18:18,3,کارشناس تست اپلیکیشن,2019-12-02 03:00:04,C,FT
1725,J,False,2019-10-02 10:17:09,6,برنامه‌نویس c#,2019-12-02 03:00:04,C,FT
1727,S,False,2019-09-30 10:06:46,8,برنامه‌نویس اندروید,2019-11-30 03:00:05,C,FT
1728,S,True,2019-10-01 13:46:57,12,برنامه‌نویسی پنل کاربری و مدیریت,2019-12-01 03:00:05,C,PR
1730,J,False,2019-10-01 12:33:21,3,طراح وب,2019-12-01 03:00:05,C,FT
1733,S,False,2019-09-30 10:06:32,12,Senior React.Js Developer,2019-11-30 03:00:05,C,FT
1734,S,False,2019-09-29 13:14:37,6,برنامه‌نویس فرانت اند,2019-11-29 03:00:05,C,FT
1738,J,False,2019-09-26 15:42:42,4,Back-End Developer,2019-11-26 03:00:05,C,FT
1745,J,False,2019-09-17 16:22:52,6,برنامه‌نویس .Net,2019-11-17 03:00:45,C,FT
1746,J,False,2019-09-26 15:44:01,4,طراح رابط کاربری,2019-11-26 03:00:05,C,FT
1750,S,False,2019-09-18 16:13:54,8,توسعه‌دهنده ارشد Angular,2019-11-18 03:00:05,C,FT
1751,S,False,2019-09-26 15:46:55,8,برنامه‌نویس ارشد جاوا,2019-11-26 03:00:05,C,FT
1757,J,False,2019-09-26 15:55:51,4,توسعه‌دهنده اندروید,2019-11-26 03:00:05,C,PT
1758,J,False,2019-09-26 15:56:52,6,توسعه‌دهنده Backend,2019-10-30 16:53:15,C,FT
1759,S,False,2019-09-26 15:59:01,12,توسعه‌دهنده ارشد Backend,2019-10-30 16:53:22,C,FT
1760,M,True,2019-09-24 11:07:28,6,توسعه‌دهنده Backend,2019-11-24 03:00:05,C,FT
1761,J,True,2019-09-24 11:07:16,6,توسعه‌دهنده PHP,2019-11-24 03:00:05,C,FT
1762,S,False,2019-09-24 11:07:03,6,توسعه‌دهنده Front-End,2019-11-24 03:00:05,C,FT
1767,J,True,2019-09-22 15:53:45,6,Node.Js Developer,2019-11-22 03:00:05,C,FT
1768,S,False,2020-12-17 13:53:15,8,PHP Full Stack Developer,2020-12-28 15:02:37,C,FT
1769,S,False,2019-09-22 14:33:12,8,برنامه‌نویس PHP,2019-11-22 03:00:05,C,FT
1770,S,False,2019-09-22 14:34:34,6,توسعه‌دهنده وب,2019-09-30 12:42:46,C,FT
1772,S,False,2019-09-18 16:14:08,8,توسعه‌دهنده ارشد React,2019-11-18 03:00:05,C,FT
1773,J,False,2019-09-21 18:31:04,2,توسعه‌دهنده Back-End,2019-11-21 03:00:05,C,FT
1774,J,False,2019-09-22 10:22:49,4,"توسعه‌دهنده نرم افزار (C++, Qt, GIS)",2019-11-22 03:00:05,C,FT
1775,J,False,2019-09-21 10:44:14,4,برنامه‌نویس قالب و پلاگین وردپرس,2019-11-21 03:00:05,C,FT
1776,S,True,2019-09-21 09:45:25,6,توسعه‌دهنده unreal engine,2019-11-21 03:00:05,C,FT
1777,J,False,2019-09-21 09:45:44,4,Front-End Developer & UI/UX Designer,2019-11-21 03:00:05,C,FT
1778,J,False,2019-09-12 12:25:46,2,برنامه‌نویس یونیتی,2019-10-16 11:22:23,C,FT
1779,S,False,2019-09-18 16:18:09,6,توسعه‌دهنده بازی با یونیتی,2019-11-18 03:00:05,C,FT
1781,J,False,2019-09-18 10:16:51,4,توسعه‌دهنده Front-End,2019-11-18 03:00:05,C,FT
1783,J,False,2019-09-17 16:22:22,4,متخصص تست‌های برنامه‌نویسی,2019-11-17 03:00:45,C,FT
1784,J,False,2019-09-17 14:23:03,6,برنامه‌نویس java,2019-11-17 03:00:45,C,FT
1786,S,False,2019-09-17 14:21:20,8,Senior Front-end Developer,2019-11-17 03:00:45,C,FT
1790,S,True,2019-09-17 10:35:18,6,توسعه‌دهنده Backend,2019-11-17 03:00:45,C,PR
1792,S,False,2019-09-21 09:48:23,6,توسعه‌دهنده بک‌اند Python/Django,2019-11-21 03:00:05,C,FT
1793,J,True,2019-09-16 12:42:38,4,برنامه‌نویس c#,2019-11-16 03:00:05,C,FT
1795,S,True,2019-09-15 10:39:41,2,توسعه‌دهنده ionic,2019-11-15 03:00:05,C,PR
1796,S,False,2019-09-14 13:56:41,4,توسعه‌دهنده اندروید - Android Developer,2019-11-14 03:00:04,C,FT
1798,S,False,2019-09-14 12:33:28,6,توسعه‌دهنده پایتون,2019-11-14 03:00:04,C,PR
1799,S,False,2019-09-14 09:49:22,12,Full-Stack Developer,2019-11-14 03:00:04,C,FT
1801,S,True,2019-09-14 09:51:02,3,بهینه سازی وبسایت شرکت در وردپرس,2019-11-14 03:00:04,C,PR
1802,S,False,2019-09-12 12:27:17,2,برنامه‌نویس ارشد PHP,2019-11-12 03:00:04,C,FT
1803,S,False,2019-09-07 10:46:17,4,توسعه‌دهنده Front End,2019-11-06 19:26:48,C,FT
1804,J,True,2019-09-12 12:26:53,6,توسعه‌دهنده اندروید - Android Developer,2019-09-28 09:14:36,C,PT
1805,S,False,2019-09-12 12:26:24,3,توسعه‌دهنده وردپرس - full stack,2019-11-12 03:00:04,C,FT
1807,J,False,2019-09-11 18:17:58,12,Back-End Developer,2019-11-11 03:00:04,C,FT
1809,J,True,2019-09-08 11:35:26,6,وب تکنولوژیست,2019-11-08 03:00:05,C,FT
1810,S,True,2019-09-08 10:19:55,8,برنامه‌‌نویس تحت وب,2019-11-08 03:00:05,C,PR
1811,J,False,2019-09-07 18:23:10,2,برنامه‌نویس فرانت اند وردپرس,2019-11-06 19:26:48,C,PT
1812,S,False,2019-09-07 14:46:58,6,برنامه‌نویس هوش مصنوعی,2019-11-06 19:26:48,C,FT
1813,J,False,2019-09-07 10:45:00,6,توسعه‌دهنده دات‌نت,2019-11-06 19:26:48,C,FT
1814,J,True,2020-09-03 11:55:30,6,برنامه‌نویس Front-end,2020-11-03 03:00:09,C,FT
1815,J,False,2019-09-07 09:52:25,4,Full-Stack Developer,2019-11-06 19:26:48,C,FT
1816,J,True,2019-09-06 12:13:33,4,توسعه‌دهنده اندروید - Android Developer,2019-10-19 00:32:56,C,FT
1818,S,False,2019-09-06 12:11:30,8,توسعه‌دهنده Front End,2019-11-06 19:26:48,C,FT
1820,J,False,2019-09-04 19:06:42,3,برنامه‌نویس وب,2019-09-04 19:32:40,C,FT
1821,J,False,2019-09-04 18:37:06,4,برنامه‌نویس تحت وب(ASP.Net),2019-11-06 19:26:48,C,FT
1824,J,False,2019-09-04 11:29:27,4,برنامه‌نویس قالب وردپرس,2019-11-06 19:26:48,C,FT
1832,J,False,2020-07-09 12:55:36,6,توسعه‌دهنده Winform,2020-07-29 11:17:33,C,FT
1836,S,False,2019-09-02 15:03:07,8,برنامه‌نویس c#,2019-11-06 19:26:48,C,FT
1838,J,False,2019-09-01 09:44:25,3,توسعه‌دهنده وردپرس,2019-11-06 19:26:48,C,FT
1839,S,False,2019-09-02 10:33:58,4,توسعه‌دهنده اندروید,2019-11-06 19:26:48,C,FT
1840,J,False,2019-09-02 10:34:08,4,توسعه‌دهنده Front End,2019-11-06 19:26:48,C,FT
1849,M,False,2019-08-31 15:18:35,12,توسعه‌دهنده پایتون,2019-08-31 15:55:14,C,FT
1852,S,False,2019-08-31 10:57:57,8,برنامه‌نویس مسلط به وردپرس,2019-11-06 19:26:48,C,FT
1853,S,False,2019-08-31 10:09:33,6,توسعه‌دهنده Front End,2019-11-06 19:26:48,C,FT
1854,J,True,2019-08-31 10:09:16,3,توسعه‌دهنده Front End,2019-11-06 19:26:48,C,FT
1857,S,False,2019-08-28 10:02:43,6,Senior Software Developer,2019-09-22 12:13:36,C,FT
1858,S,False,2019-08-28 10:02:51,6,توسعه‌دهنده ارشد Backend,2019-11-06 19:26:49,C,FT
1860,S,False,2019-08-27 18:22:52,12,Senior PHP Developer,2019-11-06 19:26:49,C,FT
1861,S,False,2019-08-27 18:21:46,12,Senior ReactJS Developer,2019-11-06 19:26:49,C,FT
1868,J,False,2019-08-25 17:10:33,4,پشتیبان هاستینگ,2019-11-06 19:26:49,C,FT
1869,J,False,2019-08-25 16:15:39,3,برنامه‌نویس NET.,2019-11-06 19:26:49,C,FT
1871,J,False,2019-08-25 11:24:52,3,برنامه‌نویس,2019-11-06 19:26:49,C,FT
1876,S,False,2019-08-24 09:33:13,6,توسعه‌دهنده C#,2019-11-06 19:26:49,C,FT
1877,S,False,2019-08-19 19:34:46,12,توسعه‌دهنده دات نت,2019-10-19 03:00:04,C,FT
1878,M,False,2019-08-21 19:02:55,12,مدیر فنی CTO,2019-11-06 19:26:49,C,FT
1880,J,False,2019-08-24 09:34:15,4,Frontend Developer,2019-11-06 19:26:49,C,FT
1887,S,False,2019-08-19 13:52:26,6,توسعه‌دهنده نرم افزار,2019-09-22 12:13:42,C,FT
1888,S,False,2019-08-19 13:51:39,6,برنامه‌نویس وب مسلط به ReactJs و Node.js,2019-10-19 03:00:05,C,FT
1890,S,False,2019-08-18 14:46:05,12,توسعه‌دهنده PHP,2019-10-18 03:00:04,C,FT
1891,J,False,2019-08-18 14:45:42,4,توسعه‌دهنده Front End Vue,2019-10-18 03:00:04,C,FT
1892,J,False,2019-08-18 13:59:53,6,برنامه‌نویس PHP,2019-10-18 03:00:04,C,FT
1893,J,False,2019-08-18 13:59:56,6,برنامه‌نویس Back-End,2019-10-18 03:00:04,C,FT
1895,S,True,2019-08-17 09:50:44,6,توسعه‌دهنده iOS,2019-10-17 03:00:04,C,PT
1896,S,False,2019-08-15 22:08:22,12,Senior PHP Developer,2019-10-15 03:00:04,C,FT
1897,S,False,2019-08-14 18:50:51,8,Scrum master,2019-10-14 03:00:05,C,FT
1898,S,False,2019-08-14 18:51:06,8,توسعه‌دهنده React/React Native,2019-10-14 03:00:05,C,FT
1900,S,False,2019-08-14 18:51:21,8,Full-Stack (PHP/Laravel) Developer,2019-10-14 03:00:05,C,FT
1901,J,False,2019-08-24 11:59:50,6,توسعه‌دهنده .NET,2019-11-06 19:26:49,C,FT
1903,J,False,2019-08-14 18:51:45,3,برنامه‌نویس در استارت آپ عصر آهن,2019-10-14 03:00:05,C,FT
1911,M,False,2019-08-13 11:23:38,6,برنامه‌نویس ارشد Delphi,2019-10-13 03:00:04,C,FT
1913,J,False,2019-08-13 11:24:03,2,توسعه‌دهنده Front End,2019-10-13 03:00:04,C,FT
1919,J,False,2019-08-13 11:27:08,2,برنامه‌نویس php,2019-10-13 03:00:04,C,FT
1921,S,False,2019-08-11 13:32:16,8,Wordpress developer,2019-10-11 03:00:04,C,FT
1923,I,False,2019-08-10 17:01:56,2,توسعه‌دهنده وردپرس,2019-10-10 03:00:04,C,PT
1928,S,True,2019-08-08 17:36:35,6,برنامه‌نویس اندروید,2019-10-08 03:00:05,C,FT
1931,J,True,2019-08-07 09:41:49,6,توسعه‌دهنده python,2019-10-07 03:00:04,C,FT
1933,J,False,2019-08-07 09:42:27,6,توسعه‌دهنده PHP,2019-10-07 03:00:04,C,FT
1934,J,False,2019-08-07 09:42:38,8,Angular Developer,2019-10-07 03:00:04,C,FT
1940,S,True,2019-08-04 15:51:08,12,Fullstack Java Developer,2019-10-04 03:00:04,C,FT
1941,S,True,2019-08-03 14:22:55,3,توسعه‌دهنده دات‌نت,2019-10-03 03:00:04,C,PR
1942,J,False,2019-08-03 13:59:08,4,برنامه‌نویس دات نت,2019-10-03 03:00:04,C,FT
1944,S,False,2019-08-04 10:21:46,3,توسعه‌دهنده Fullstack,2019-10-04 03:00:04,C,FT
1945,J,True,2019-08-03 11:50:28,6,توسعه‌دهنده Front End,2019-10-03 03:00:04,C,FT
1946,S,True,2019-08-03 11:30:27,8,توسعه‌دهنده ارشد Front End,2019-10-03 03:00:04,C,FT
1955,J,False,2019-02-21 10:36:01,2,کارشناس CRM,2019-04-23 03:00:04,C,FT
1957,J,False,2019-07-30 16:38:04,6,توسعه‌دهنده Front End,2019-09-29 03:00:05,C,FT
1958,S,False,2019-07-30 16:37:12,6,توسعه‌دهنده Front End,2019-09-29 03:00:05,C,FT
1960,I,False,2019-05-11 09:44:11,1,تولید محتوا,2019-07-11 03:00:05,C,FT
1963,S,False,2019-07-28 18:42:30,8,برنامه‌نویس ارشد جاوا,2019-07-30 16:31:34,C,FT
1965,S,False,2019-07-27 17:50:52,4,برنامه‌نویس Angular,2019-09-26 03:00:04,C,FT
1967,S,False,2019-07-27 17:52:03,3,کارشناس شبکه sys admin,2019-09-26 03:00:04,C,PT
1968,S,False,2019-07-27 17:51:36,4,برنامه‌نویس ReactNative,2019-09-26 03:00:04,C,FT
1969,S,False,2019-07-27 17:51:12,4,برنامه‌نویس Python,2019-09-26 03:00:04,C,FT
1978,J,False,2019-07-24 13:10:28,4,برنامه‌نویس php,2019-09-23 03:00:04,C,FT
1980,S,False,2019-07-22 22:16:02,6,برنامه‌نویس ارشد PHP,2019-09-21 03:00:04,C,FT
1984,S,True,2019-07-22 14:21:13,8,توسعه‌دهنده Front-End,2019-09-21 03:00:04,C,FT
1985,J,False,2019-07-22 14:20:45,6,توسعه‌دهنده Backend,2019-09-21 03:00:04,C,FT
1987,J,True,2019-07-22 14:19:25,1,دولوپر سایت,2019-09-21 03:00:04,C,PT
1992,J,False,2019-07-21 17:20:40,3,کارشناس تحلیلگر سیستم (آقا),2019-09-20 03:00:04,C,FT
1997,S,True,2019-07-21 13:52:36,8,دعوت از فرانت اند کار (پروژه),2019-09-20 03:00:04,C,PR
1998,S,False,2019-07-20 15:27:19,4,برنامه‌نویس PHP (لاراول),2019-09-19 03:00:05,C,FT
2001,S,False,2019-07-18 23:59:41,6,برنامه‌نویس React.JS,2019-09-03 16:08:41,C,FT
2004,J,False,2019-07-17 21:52:07,4,توسعه‌دهنده Front End,2019-09-16 03:00:04,C,FT
2005,S,False,2019-07-17 21:29:24,6,توسعه‌دهنده Full Stack,2019-09-16 03:00:04,C,FT
2008,J,False,2019-07-17 10:12:47,3,برنامه‌نویس ویندوز تمام وقت,2019-09-16 03:00:04,C,FT
2009,S,False,2019-07-16 10:03:43,4,برنامه‌نویس ReactJS,2019-09-15 03:00:04,C,FT
2013,S,False,2019-07-16 12:35:20,6,توسعه‌دهنده Back-end,2019-08-19 13:12:44,C,FT
2014,S,False,2019-07-16 10:05:31,4,گرافیست وب و طراح (UI-UX),2019-09-15 03:00:04,C,FT
2015,S,False,2019-07-16 09:58:39,3,برنامه‌نویس NodeJS,2019-09-15 03:00:04,C,FT
2018,S,False,2019-07-15 12:38:41,6,توسعه‌دهنده NodeJS,2019-09-14 03:00:04,C,FT
2019,J,True,2019-07-15 10:12:09,3,برنامه‌نویس قالب و پلاگین وردپرس,2019-09-14 03:00:04,C,FT
2020,S,False,2019-07-09 11:29:40,3,برنامه‌نویس و طراح سایت,2019-09-08 03:00:04,C,FT
2025,J,False,2019-07-14 09:36:57,4,توسعه‌دهنده وب / وب مستر,2019-09-13 03:00:04,C,FT
2026,S,False,2019-07-08 10:17:15,8,برنامه‌نویس ارشد جاوا,2019-09-07 03:00:11,C,FT
2027,S,True,2019-07-04 19:44:18,12,توسعه‌دهنده Front-end در کشور مالزی,2019-09-03 03:00:05,C,FT
2029,S,False,2019-07-13 12:59:09,6,مدیر فنی سایت,2019-09-12 03:00:04,C,PT
2030,S,False,2019-07-11 21:45:42,6,برنامه‌نویس یونیتی,2019-09-10 03:00:04,C,PR
2032,S,True,2019-07-07 13:34:16,3,برنامه‌نویس موبایل,2019-09-06 03:00:04,C,FT
2043,J,False,2019-07-06 10:42:37,4,برنامه‌نویس iOS,2019-09-05 03:00:04,C,PR
2044,J,True,2019-07-04 23:51:49,1,برنامه‌نویس و طراح سایت,2019-07-24 13:06:29,C,PR
2046,S,False,2019-07-03 15:19:45,6,توسعه‌دهنده Front-End مسلط به Vue.js,2019-09-02 03:00:05,C,PT
2047,S,False,2019-07-03 11:20:35,6,برنامه‌نویس Full Stack ( آقا ),2019-09-02 03:00:05,C,FT
2048,S,False,2019-07-03 09:53:01,8,برنامه‌نویس Back-End,2019-09-02 03:00:05,C,FT
2050,S,True,2019-07-03 09:52:58,4,توسعه‌دهنده PHP,2019-09-02 03:00:05,C,FT
2052,S,False,2019-07-02 17:36:23,8,توسعه‌دهنده Front End,2019-09-01 03:00:04,C,FT
2053,J,False,2019-07-01 15:06:08,4,توسعه‌دهنده React native,2019-08-31 03:00:04,C,PT
2055,J,False,2019-07-01 10:00:17,2,کارشناس توسعه کسب و کار,2019-08-31 03:00:04,C,FT
2059,S,False,2019-06-27 11:28:25,3,توسعه‌دهنده Front End,2019-06-28 23:42:59,C,FT
